condition,leader,repetition,player,ioi0,ioi1,ioi2,ioi3,ioi4,ioi5,ioi6,ioi7,ioi8,ioi9,ioi10,ioi11,ioi12,ioi13,ioi14,ioi15,ioi16,ioi17,ioi18,ioi19,ioi20,ioi21,ioi22,ioi23,ioi24,ioi25,ioi26,ioi27,ioi28,ioi29,ioi30,ioi31,ioi32,ioi33,ioi34,ioi35,ioi36,ioi37,ioi38,ioi39,ioi40,ioi41,ioi42,ioi43,ioi44,ioi45
DP,VN1,6,VN1,259.9999999999998,189.9999999999995,279.9999999999994,240.00000000000023,230.00000000000043,240.00000000000023,240.00000000000023,250.0,250.0,189.9999999999995,259.9999999999998,250.0,220.00000000000063,279.9999999999994,210.00000000000085,250.0,239.99999999999844,210.00000000000085,280.00000000000114,199.9999999999993,269.99999999999955,250.0,230.00000000000043,250.0,239.99999999999844,220.00000000000242,189.99999999999773,290.00000000000273,229.99999999999687,280.00000000000114,199.9999999999993,240.000000000002,239.99999999999844,250.0,190.00000000000128,289.99999999999915,190.00000000000128,289.99999999999915,230.00000000000043,230.00000000000043,230.00000000000043,230.00000000000043,270.6349999999986,209.36499999999825,260.0000000000016,250.0
DP,VN1,6,VN2,240.00000000000023,269.99999999999955,179.99999999999972,289.99999999999915,220.00000000000063,250.0,225.873,244.12700000000063,219.99999999999886,259.9999999999998,190.00000000000128,320.0000000000003,219.99999999999886,240.00000000000023,240.00000000000023,250.0,250.0,228.91200000000111,161.08799999999945,320.0000000000003,230.00000000000043,250.0,219.99999999999886,239.99999999999844,200.00000000000284,299.99999999999716,200.00000000000284,239.99999999999844,260.0000000000016,199.9999999999993,250.0,250.0,239.99999999999844,230.00000000000043,240.000000000002,219.99999999999886,250.0,190.00000000000128,279.9999999999976,210.00000000000085,320.0000000000003,219.99999999999886,210.00000000000085,230.00000000000043,259.999999999998,230.00000000000043
DP,VN1,6,VA,250.0,240.00000000000023,250.0,229.99999999999864,260.0000000000016,219.99999999999886,240.00000000000023,230.00000000000043,240.00000000000023,229.99999999999864,250.0,180.00000000000148,299.9999999999989,250.0,240.00000000000023,250.00000000000176,219.99999999999886,230.00000000000043,250.0,250.0,219.99999999999886,240.000000000002,250.0,229.99999999999687,220.00000000000242,250.0,239.99999999999844,230.00000000000043,190.00000000000128,289.99999999999915,250.0,230.00000000000043,239.99999999999844,230.00000000000043,250.0,250.0,230.00000000000043,190.00000000000128,259.999999999998,230.00000000000043,269.99999999999955,210.00000000000085,190.00000000000128,309.99999999999875,250.0,239.99999999999844
DP,VN1,6,VC,240.00000000000023,229.99999999999864,259.9999999999998,230.00000000000043,250.0,200.00000000000108,269.99999999999955,209.9999999999991,300.0000000000007,230.00000000000043,199.9999999999993,279.9999999999994,240.00000000000023,240.00000000000023,259.9999999999998,240.00000000000023,240.000000000002,209.9999999999973,200.00000000000284,279.9999999999976,260.0000000000016,179.99999999999972,259.999999999998,220.00000000000242,279.9999999999976,240.000000000002,219.99999999999886,190.00000000000128,300.0000000000007,179.99999999999972,289.99999999999915,219.99999999999886,230.00000000000043,250.0,210.00000000000085,259.999999999998,240.000000000002,210.00000000000085,239.99999999999844,250.0,260.0000000000016,230.00000000000043,239.99999999999844,239.99999999999844,240.000000000002,259.999999999998
DP,VN1,7,VN1,259.9999999999998,220.00000000000063,269.99999999999955,200.00000000000108,349.99999999999966,169.99999999999994,250.0,230.00000000000043,229.99999999999864,200.00000000000108,279.9999999999994,240.00000000000023,199.9999999999993,280.00000000000114,250.0,239.99999999999844,240.000000000002,230.00000000000043,259.999999999998,230.00000000000043,239.99999999999844,230.00000000000043,230.00000000000043,217.07500000000124,242.9249999999996,219.99999999999886,220.00000000000242,269.99999999999955,239.99999999999844,199.9999999999993,260.0000000000016,230.00000000000043,239.99999999999844,240.000000000002,250.0,209.9999999999973,210.00000000000085,260.0000000000016,230.00000000000043,219.99999999999886,250.0,219.99999999999886,245.3060000000029,264.69399999999865,239.99999999999844,250.0
DP,VN1,7,VN2,250.0,240.00000000000023,250.0,250.0,220.00000000000063,219.99999999999886,269.99999999999955,230.00000000000043,230.00000000000043,259.9999999999998,250.0,250.0,240.00000000000023,250.0,220.00000000000063,229.99999999999864,260.0000000000016,219.99999999999886,230.00000000000043,239.99999999999844,230.00000000000043,240.000000000002,230.00000000000043,229.99999999999687,210.00000000000085,230.00000000000043,240.000000000002,259.999999999998,240.000000000002,199.9999999999993,269.99999999999955,239.99999999999844,230.00000000000043,219.99999999999886,240.000000000002,239.99999999999844,240.000000000002,230.00000000000043,189.99999999999773,250.0,269.99999999999955,220.00000000000242,309.99999999999875,179.99999999999972,250.0,240.000000000002
DP,VN1,7,VA,230.00000000000043,250.0,250.0,230.00000000000043,250.0,230.00000000000043,240.00000000000023,240.00000000000023,250.0,209.9999999999991,210.00000000000085,289.99999999999915,230.00000000000043,240.00000000000023,250.0,239.99999999999844,210.00000000000085,260.0000000000016,219.99999999999886,239.99999999999844,250.0,230.00000000000043,240.000000000002,230.00000000000043,160.00000000000014,289.99999999999915,239.99999999999844,240.000000000002,230.00000000000043,239.99999999999844,239.99999999999844,230.00000000000043,220.00000000000242,259.999999999998,219.99999999999886,240.000000000002,239.99999999999844,220.00000000000242,239.99999999999844,240.000000000002,209.9999999999973,250.0,230.00000000000043,250.0,240.000000000002,230.00000000000043
DP,VN1,7,VC,240.00000000000023,240.00000000000023,250.0,240.00000000000023,250.0,250.0,240.00000000000023,209.9999999999991,290.0000000000009,229.99999999999864,200.00000000000108,239.40999999999946,270.5900000000003,250.0,250.0,210.00000000000085,259.999999999998,240.000000000002,199.9999999999993,250.0,219.99999999999886,220.00000000000242,279.9999999999976,210.00000000000085,280.00000000000114,279.9999999999976,179.99999999999972,180.00000000000327,239.99999999999844,230.00000000000043,250.0,219.99999999999886,260.0000000000016,230.00000000000043,189.99999999999773,280.00000000000114,230.00000000000043,250.0,189.99999999999773,250.0,250.0,300.0000000000007,170.0000000000017,259.999999999998,220.00000000000242,259.999999999998
DP,VN1,8,VN1,250.0,209.9999999999991,240.00000000000023,269.99999999999955,240.00000000000023,240.00000000000023,250.0,240.00000000000023,250.0,199.9999999999993,260.0000000000016,250.0,169.99999999999994,289.99999999999915,269.99999999999955,230.00000000000222,239.99999999999844,210.00000000000085,230.00000000000043,250.0,259.999999999998,219.99999999999886,220.00000000000242,218.68500000000068,271.3149999999978,230.00000000000043,199.9999999999993,290.00000000000273,219.99999999999886,250.0,210.00000000000085,259.999999999998,230.00000000000043,240.000000000002,239.99999999999844,219.99999999999886,269.99999999999955,230.00000000000043,220.00000000000242,229.99999999999687,230.00000000000043,250.0,250.0,230.38500000000184,229.61499999999901,250.0
DP,VN1,8,VN2,250.0,290.0000000000009,209.9999999999991,230.00000000000043,250.0,250.0,250.0,210.00000000000085,250.0,199.9999999999993,220.00000000000063,289.99999999999915,240.00000000000023,240.00000000000023,240.00000000000023,239.99999999999844,240.000000000002,189.99999999999773,250.0,270.0000000000031,229.99999999999687,240.000000000002,230.00000000000043,250.0,199.9999999999993,280.00000000000114,230.00000000000043,229.99999999999687,200.00000000000284,269.99999999999955,239.99999999999844,230.00000000000043,250.0,199.9999999999993,210.00000000000085,269.99999999999955,250.0,230.00000000000043,190.00000000000128,299.99999999999716,240.000000000002,230.00000000000043,239.99999999999844,250.0,230.00000000000043,230.00000000000043
DP,VN1,8,VA,269.99999999999955,250.0,230.00000000000043,240.00000000000023,229.99999999999864,240.00000000000023,250.0,230.00000000000043,230.00000000000043,230.00000000000043,259.9999999999998,250.0,240.00000000000023,229.99999999999864,240.00000000000023,240.000000000002,209.9999999999973,260.0000000000016,230.00000000000043,230.00000000000043,239.99999999999844,230.00000000000043,190.00000000000128,269.99999999999955,239.99999999999844,230.00000000000043,230.00000000000043,250.0,190.00000000000128,289.99999999999915,239.99999999999844,240.000000000002,230.00000000000043,239.99999999999844,239.99999999999844,230.00000000000043,240.000000000002,219.99999999999886,208.11799999999891,261.88199999999995,230.00000000000043,260.0000000000016,239.99999999999844,240.000000000002,250.0,230.00000000000043
DP,VN1,8,VC,250.0,210.00000000000085,259.9999999999998,230.00000000000043,259.9999999999998,230.00000000000043,259.9999999999998,220.00000000000063,289.99999999999915,230.00000000000043,250.0,230.00000000000043,229.99999999999864,303.1290000000002,186.871,250.0,260.0000000000016,199.9999999999993,250.0,181.02000000000018,278.9800000000007,189.99999999999773,269.99999999999955,220.00000000000242,259.999999999998,239.5239999999994,250.47600000000259,189.99999999999773,260.0000000000016,239.99999999999844,240.000000000002,230.00000000000043,259.999999999998,230.00000000000043,199.9999999999993,269.99999999999955,230.00000000000043,220.00000000000242,179.99999999999972,251.76899999999947,278.6389999999983,219.59200000000223,230.00000000000043,219.99999999999886,269.99999999999955,269.99999999999955
DP,VN1,9,VN1,240.00000000000023,209.9999999999991,270.00000000000136,209.9999999999991,269.99999999999955,240.00000000000023,250.0,230.00000000000043,240.00000000000023,259.9999999999998,220.00000000000063,240.00000000000023,239.99999999999844,230.00000000000043,250.0,240.000000000002,259.999999999998,230.00000000000043,199.9999999999993,289.99999999999915,220.00000000000242,230.00000000000043,239.99999999999844,250.0,230.00000000000043,219.99999999999886,220.00000000000242,250.0,250.0,239.99999999999844,219.99999999999886,240.000000000002,239.99999999999844,230.00000000000043,210.00000000000085,240.54399999999987,259.45600000000013,250.0,219.99999999999886,230.00000000000043,230.00000000000043,239.99999999999844,260.0000000000016,239.99999999999844,189.36500000000223,270.6349999999986
DP,VN1,9,VN2,229.99999999999864,270.00000000000136,169.99999999999994,319.9999999999985,240.00000000000023,230.00000000000043,250.0,220.00000000000063,250.0,240.00000000000023,229.99999999999864,240.00000000000023,259.9999999999998,230.00000000000043,240.00000000000023,240.00000000000023,250.0,230.00000000000043,239.99999999999844,240.000000000002,239.99999999999844,230.00000000000043,230.00000000000043,230.00000000000043,219.99999999999886,269.99999999999955,199.9999999999993,270.0000000000031,229.99999999999687,200.00000000000284,279.9999999999976,240.000000000002,230.00000000000043,250.0,222.85699999999764,227.14300000000165,239.99999999999844,210.00000000000085,250.0,239.99999999999844,240.000000000002,230.00000000000043,239.99999999999844,250.0,230.00000000000043,240.000000000002
DP,VN1,9,VA,250.0,240.00000000000023,250.0,239.99999999999844,240.00000000000023,230.00000000000043,240.00000000000023,240.00000000000023,259.9999999999998,220.00000000000063,250.0,241.9729999999998,228.02699999999908,240.00000000000023,259.9999999999998,240.00000000000023,230.00000000000043,230.00000000000043,217.68699999999797,252.3130000000009,219.99999999999886,240.000000000002,250.0,230.00000000000043,250.0,230.00000000000043,230.00000000000043,239.99999999999844,250.0,230.00000000000043,230.00000000000043,250.0,230.00000000000043,219.99999999999886,250.0,239.99999999999844,260.0000000000016,179.99999999999972,250.0,239.99999999999844,220.00000000000242,230.00000000000043,239.99999999999844,250.0,250.0,250.0
DP,VN1,9,VC,259.9999999999998,219.99999999999886,250.0,220.00000000000063,250.0,200.00000000000108,289.99999999999915,220.00000000000063,259.9999999999998,240.00000000000023,240.00000000000023,250.0,229.99999999999864,240.00000000000023,250.0,250.0,219.99999999999886,240.000000000002,199.9999999999993,269.99999999999955,260.0000000000016,219.99999999999886,239.99999999999844,210.00000000000085,269.99999999999955,240.000000000002,210.00000000000085,209.9999999999973,240.000000000002,239.99999999999844,260.0000000000016,239.99999999999844,240.000000000002,239.99999999999844,230.00000000000043,239.99999999999844,240.000000000002,230.00000000000043,250.0,179.99999999999972,269.99999999999955,230.00000000000043,239.99999999999844,250.0,260.0000000000016,250.0
DP,VN1,10,VN1,270.00000000000136,219.99999999999886,259.9999999999998,290.0000000000009,240.00000000000023,240.00000000000023,259.9999999999998,250.0,250.0,289.99999999999915,230.00000000000043,240.00000000000023,259.9999999999998,250.0,239.99999999999844,250.0,240.000000000002,269.99999999999955,239.99999999999844,250.0,240.000000000002,239.99999999999844,240.000000000002,269.99999999999955,259.999999999998,240.000000000002,269.99999999999955,269.99999999999955,199.9999999999993,269.99999999999955,250.0,230.00000000000043,250.0,240.000000000002,259.999999999998,230.00000000000043,260.0000000000016,250.0,239.99999999999844,250.0,240.000000000002,239.99999999999844,297.9139999999987,202.08600000000132,239.99999999999844,290.00000000000273
